Date,Parking
10/18/2016,194
10/18/2016,179
10/18/2016,197
10/18/2016,195
10/18/2016,191
10/18/2016,117
10/18/2016,112
10/18/2016,110
10/19/2016,108
10/19/2016,106
10/19/2016,105
10/19/2016,105
10/19/2016,105
10/19/2016,105
10/19/2016,112
10/19/2016,134
10/19/2016,178
10/19/2016,207
10/19/2016,216
10/19/2016,217
10/19/2016,219
10/19/2016,222
10/19/2016,216
10/19/2016,211
10/19/2016,194
10/19/2016,184
10/19/2016,202
10/19/2016,199
10/19/2016,191
10/19/2016,119
10/19/2016,109
10/19/2016,105
10/20/2016,106
10/20/2016,106
10/20/2016,106
10/20/2016,106
10/20/2016,106
10/20/2016,108
10/20/2016,114
10/20/2016,127
10/20/2016,168
10/20/2016,194
10/20/2016,206
10/20/2016,205
10/20/2016,209
10/20/2016,211
10/20/2016,218
10/20/2016,212
10/20/2016,191
10/20/2016,180
10/20/2016,201
10/20/2016,198
10/20/2016,186
10/20/2016,108
10/20/2016,106
10/20/2016,105
10/21/2016,104
10/21/2016,103
10/21/2016,104
10/21/2016,104
10/21/2016,104
10/21/2016,105
10/21/2016,114
10/21/2016,135
10/21/2016,165
10/21/2016,187
10/21/2016,192
10/21/2016,195
10/21/2016,200
10/21/2016,207
10/21/2016,207
10/21/2016,203
10/21/2016,189
10/21/2016,163
10/21/2016,146
10/21/2016,144
10/21/2016,133
10/21/2016,100
10/21/2016,98
10/21/2016,97
10/22/2016,98
10/22/2016,98
10/22/2016,98
10/22/2016,98
10/22/2016,101
10/22/2016,100
10/22/2016,105
10/22/2016,107
10/22/2016,137
10/22/2016,171
10/22/2016,179
10/22/2016,181
10/22/2016,156
10/22/2016,152
10/22/2016,142
10/22/2016,135
10/22/2016,122
10/22/2016,107
10/22/2016,99
10/22/2016,96
10/22/2016,91
10/22/2016,91
10/22/2016,91
10/22/2016,91
10/23/2016,91
10/23/2016,91
10/23/2016,91
10/23/2016,91
10/23/2016,91
10/23/2016,92
10/23/2016,93
10/23/2016,91
10/23/2016,92
10/23/2016,93
10/23/2016,93
10/23/2016,93
10/23/2016,96
10/23/2016,99
10/23/2016,103
10/23/2016,106
10/23/2016,100
10/23/2016,97
10/23/2016,89
10/23/2016,94
10/23/2016,97
10/23/2016,98
10/23/2016,100
10/23/2016,100
10/24/2016,101
10/24/2016,101
10/24/2016,101
10/24/2016,101
10/24/2016,101
10/24/2016,101
10/24/2016,110
10/24/2016,131
10/24/2016,176
10/24/2016,188
10/24/2016,200
10/24/2016,202
10/24/2016,210
10/24/2016,215
10/24/2016,220
10/24/2016,220
10/24/2016,205
10/24/2016,183
10/24/2016,200
10/24/2016,203
10/24/2016,196
10/24/2016,124
10/24/2016,115
10/24/2016,110
10/25/2016,110
10/25/2016,108
10/25/2016,108
10/25/2016,108
10/25/2016,108
10/25/2016,109
10/25/2016,114
10/25/2016,140
10/25/2016,181
10/25/2016,194
10/25/2016,202
10/25/2016,205
10/25/2016,209
10/25/2016,215
10/25/2016,215
10/25/2016,205
10/25/2016,194
10/25/2016,176
10/25/2016,179
10/25/2016,176
10/25/2016,172
10/25/2016,117
10/25/2016,110
10/25/2016,108
10/26/2016,106
10/26/2016,105
10/26/2016,105
10/26/2016,105
10/26/2016,105
10/26/2016,106
10/26/2016,112
10/26/2016,124
10/26/2016,177
10/26/2016,193
10/26/2016,203
10/26/2016,210
10/26/2016,222
10/26/2016,217
10/26/2016,217
10/26/2016,209
10/26/2016,205
10/26/2016,181
10/26/2016,187
10/26/2016,183
10/26/2016,174
10/26/2016,119
10/26/2016,116
10/26/2016,115
10/27/2016,113
10/27/2016,112
10/27/2016,112
10/27/2016,112
10/27/2016,112
10/27/2016,114
10/27/2016,120
10/27/2016,137
10/27/2016,179
10/27/2016,204
10/27/2016,215
10/27/2016,218
10/27/2016,220
10/27/2016,222
10/27/2016,221
10/27/2016,217
10/27/2016,196
10/27/2016,177
10/27/2016,207
10/27/2016,203
10/27/2016,197
10/27/2016,118
10/27/2016,113
10/27/2016,110
10/28/2016,110
10/28/2016,110
10/28/2016,110
10/28/2016,110
10/28/2016,110
10/28/2016,111
10/28/2016,115
10/28/2016,141
10/28/2016,189
10/28/2016,209
10/28/2016,212
10/28/2016,220
10/28/2016,219
10/28/2016,219
10/28/2016,219
10/28/2016,210
10/28/2016,193
10/28/2016,161
10/28/2016,149
10/28/2016,149
10/28/2016,133
10/28/2016,108
10/28/2016,101
10/28/2016,101
10/29/2016,100
10/29/2016,101
10/29/2016,101
10/29/2016,101
10/29/2016,102
10/29/2016,104
10/29/2016,111
10/29/2016,116
10/29/2016,142
10/29/2016,180
10/29/2016,180
10/29/2016,170
10/29/2016,154
10/29/2016,154
10/29/2016,157
10/29/2016,153
10/29/2016,127
10/29/2016,124
10/29/2016,109
10/29/2016,98
10/29/2016,94
10/29/2016,101
10/29/2016,100
10/29/2016,99
10/30/2016,101
10/30/2016,100
10/30/2016,100
10/30/2016,100
10/30/2016,100
10/30/2016,100
10/30/2016,102
10/30/2016,99
10/30/2016,98
10/30/2016,102
10/30/2016,105
10/30/2016,105
10/30/2016,108
10/30/2016,108
10/30/2016,112
10/30/2016,108
10/30/2016,106
10/30/2016,108
10/30/2016,105
10/30/2016,103
10/30/2016,101
10/30/2016,98
10/30/2016,99
10/30/2016,101
10/31/2016,103
